dataset,method,insample_bacc,cv_bacc,insample_mcc,cv_mcc,cv_threshold_mean,cv_threshold_sd
CAID2 Disorder-NOX,s2D,0.6182715738010441,0.6163537416605505,0.224559906721089,0.21761399972691536,0.46950000000000003,0.022861539755668247
CAID3 Disorder-PDB,AlphaFold-pLDDT,0.8713747834166043,0.8707797667024173,0.7663013104093094,0.764543304103973,0.28080000000000005,0.014274452704044377
CAID3 Disorder-PDB,AlphaFold-rsa,0.8856971908577443,0.8817039598442293,0.7855825185466789,0.7801593166336851,0.5504,0.01749399897107574
CAID3 Disorder-PDB,AlphaFold3-pLDDT,0.870263831539045,0.8658840622666705,0.7402473628149748,0.7367758498753944,0.21260000000000004,0.013668942899873417
CAID3 Disorder-PDB,AlphaFold3-rsa,0.8824661522352133,0.8810035027068863,0.7713491962709182,0.7670910980614211,0.5258,0.017220917513303423
CAID3 Disorder-PDB,AIUPred,0.7934417415965234,0.7948087738805283,0.6511337631672063,0.6476725532307495,0.7068,0.019564253116334383
CAID3 Disorder-PDB,AIUPred-2-disorder,0.8456803484285936,0.8442208091989614,0.7238634599497219,0.7232980750190882,0.5636,0.0026153393661243604
CAID3 Disorder-PDB,IUPred3,0.784400437144158,0.7830658938770398,0.6064053038518413,0.5987061267991611,0.4793,0.025737326978534505
CAID3 Disorder-PDB,ESpritz-D,0.760020181473037,0.7619287187515851,0.5533015262940588,0.5448661569835082,0.3217,0.028443101096751026
CAID3 Disorder-PDB,ESpritz-N,0.7790402336003348,0.7737946630468572,0.5841718248160485,0.5817592515224321,0.38170000000000004,0.02609616830111272
CAID3 Disorder-PDB,ESpritz-X,0.7845014428197068,0.7832438058495602,0.5992347296036556,0.5953046281279859,0.08159999999999999,0.01302459212413195
CAID3 Disorder-PDB,MobiDB-lite,0.7632811015122919,0.7758900406331717,0.6055877209845095,0.6100948896322781,0.3575,0.07150000000000001
CAID3 Disorder-PDB,flDPnn,0.8083491176286716,0.8007288989833532,0.6299183849631547,0.6245753132846243,0.2238,0.015954936540143308
CAID3 Disorder-PDB,flDPnn2,0.8158053163964093,0.8084592087898617,0.6385136472497838,0.6277461568396684,0.2481,0.02306707610426602
CAID3 Disorder-PDB,flDPnn3a,0.8546549078189039,0.8487638083940809,0.6904013633899633,0.6825619874812693,0.45760000000000006,0.01582529620575867
CAID3 Disorder-PDB,flDPnn3b,0.8188705814525885,0.801959211702626,0.6440284458332171,0.6213293805509273,0.2562,0.036446673373574164
CAID3 Disorder-PDB,DISOPRED3-diso,0.8340458660166867,0.8319529867561907,0.6968264574645654,0.6915571667104952,0.32199999999999995,0.05381449618829484
CAID3 Disorder-PDB,SETH-0,0.8727893617354239,0.8722831158075836,0.7677073364815504,0.7667340501893954,0.3966,0.005161395160225581
CAID3 Disorder-PDB,SETH-1,0.8505578791520624,0.8494884124205855,0.7295486925246123,0.7268388348948743,0.4382689,0.01182811755479291
CAID3 Disorder-PDB,VSL2,0.7910142494914851,0.7910672544924712,0.631290125476559,0.6282246609416126,0.6923999999999999,0.01693635143707164
CAID3 Disorder-PDB,SPOT-Disorder,0.8484674801268158,0.8483063828811206,0.7359846177269354,0.7332601279089063,0.4213,0.037043352979988196
CAID3 Disorder-PDB,SPOT-Disorder2,0.8760417837756894,0.8749447612706053,0.7758603697887698,0.7748696367789394,0.38330000000000003,0.02015961309152534
CAID3 Disorder-PDB,SPOT-Disorder-Single,0.8273103004869784,0.823950313569493,0.682898126285493,0.6797402665342369,0.17689999999999997,0.016694010902116963
CAID3 Disorder-PDB,DisEMBL-dis465,0.7161581128208123,0.7215251286515365,0.4739696101012291,0.46892526128596507,0.4196,0.017465394355696634
CAID3 Disorder-PDB,DisEMBL-disHL,0.6173430836309305,0.6215013888915385,0.28873221858393266,0.2705978852772792,0.11540000000000002,0.018725383841192683
CAID3 Disorder-PDB,IsUnstruct,0.7868407698983519,0.785239867675274,0.6198829319425745,0.6154055941944513,0.6778566,0.03577344145647718
CAID3 Disorder-PDB,RONN,0.7669500424521692,0.7649501476186755,0.5767172787695021,0.5739063408191859,0.562,0.015362291495737196
CAID3 Disorder-PDB,PreDisorder,0.7927881759443254,0.7908186175327696,0.6286308872464058,0.6247435313937839,0.5608,0.015098344280085791
CAID3 Disorder-PDB,OPAL,0.6341106607692436,0.6261905216909975,0.24960227609034374,0.2339758243606283,0.527,0.015472556349873165
