dataset,round,reference,plddt_cutoff,sensitivity,specificity,balanced_accuracy,mcc,sensitivity_long
CAID3 Disorder-PDB,caid3,disorder_pdb,54.0,0.6185543897408304,0.9824761594261961,0.8005152745835133,0.6896528322787109,0.649519890260631
CAID3 Disorder-PDB,caid3,disorder_pdb,55.0,0.6327235225540311,0.9814573314858587,0.8070904270199448,0.6983600738544745,0.662815236889311
CAID3 Disorder-PDB,caid3,disorder_pdb,56.0,0.6462200699488835,0.9801124786046133,0.8131662742767484,0.7059356968389596,0.6755829903978052
CAID3 Disorder-PDB,caid3,disorder_pdb,57.0,0.6612859833198816,0.9788083788409814,0.8200471810804315,0.7148066608444545,0.6908304315711723
CAID3 Disorder-PDB,caid3,disorder_pdb,58.0,0.6732131647385885,0.9775857853125764,0.8253994750255824,0.721490290035942,0.7016460905349794
CAID3 Disorder-PDB,caid3,disorder_pdb,59.0,0.6853645412967447,0.9763020621077513,0.830833301702248,0.7282564693835086,0.7130948612430094
CAID3 Disorder-PDB,caid3,disorder_pdb,60.0,0.6983230203569186,0.9747738201972451,0.8365484202770819,0.7352131845879142,0.7258626147515036
CAID3 Disorder-PDB,caid3,disorder_pdb,61.0,0.7069769527396647,0.97349009699242,0.8402335248660423,0.7394049715896721,0.7344096232985122
CAID3 Disorder-PDB,caid3,disorder_pdb,62.0,0.7166173437359878,0.9721656206699812,0.8443914822029845,0.7442977246664267,0.7438007808378179
CAID3 Disorder-PDB,caid3,disorder_pdb,63.0,0.7259438615370819,0.9703724834949874,0.8481581725160346,0.7481522120164164,0.7527171045689565
CAID3 Disorder-PDB,caid3,disorder_pdb,64.0,0.7341494036409291,0.9687423587904475,0.8514458812156882,0.751492011518321,0.7606837606837606
CAID3 Disorder-PDB,caid3,disorder_pdb,65.0,0.7418168774100977,0.9671937403211346,0.8545053088656162,0.7546043472610946,0.7684393795504907
CAID3 Disorder-PDB,caid3,disorder_pdb,66.0,0.7505604878486234,0.9651357078816529,0.8578480978651382,0.7576947295573384,0.7766170729133692
CAID3 Disorder-PDB,caid3,disorder_pdb,67.0,0.7578244103667833,0.9629554160893309,0.860389913228057,0.7595064765943259,0.7835813020998206
CAID3 Disorder-PDB,caid3,disorder_pdb,68.0,0.765447045108062,0.9611826554731437,0.863314850290603,0.7623306177286067,0.7910731244064577
CAID3 Disorder-PDB,caid3,disorder_pdb,69.0,0.7731145188772307,0.9583706903578124,0.8657426046175216,0.763506128917948,0.7984594280890577
CAID3 Disorder-PDB,caid3,disorder_pdb,70.0,0.7803784413953906,0.9559458798598093,0.8681621606276,0.7650845418427414,0.8055291758995463
CAID3 Disorder-PDB,caid3,disorder_pdb,71.0,0.7854900905748363,0.9536025755970332,0.8695463330859348,0.7651988809461634,0.810488551229292
CAID3 Disorder-PDB,caid3,disorder_pdb,72.0,0.7930678862882252,0.9506887276876681,0.8718783069879467,0.7663511128834654,0.8169251872955576
CAID3 Disorder-PDB,caid3,disorder_pdb,73.0,0.7994798672764775,0.9471024533376803,0.8732911603070789,0.765617592788073,0.8229925081776933
CAID3 Disorder-PDB,caid3,disorder_pdb,74.0,0.8048605506232624,0.94371994457576,0.8742902475995112,0.7644967853893032,0.8280574021314762
CAID3 Disorder-PDB,caid3,disorder_pdb,75.0,0.8115864048067438,0.9401744233433857,0.8758804140750648,0.7642568908249133,0.8339136857655376
CAID3 Disorder-PDB,caid3,disorder_pdb,76.0,0.8178190296834364,0.9355489444942539,0.8766839870888452,0.7620890343200529,0.839400654215469
CAID3 Disorder-PDB,caid3,disorder_pdb,77.0,0.8249932741458165,0.9296804955579102,0.8773368848518633,0.758952548972897,0.8461010868418276
CAID3 Disorder-PDB,caid3,disorder_pdb,78.0,0.8312258990225092,0.925156899502812,0.8781913992626607,0.7572289638193114,0.8520101297879076
CAID3 Disorder-PDB,caid3,disorder_pdb,79.0,0.8385794995964487,0.9194922161545358,0.8790358578754922,0.7548801253484951,0.8588688403503218
CAID3 Disorder-PDB,caid3,disorder_pdb,80.0,0.8470540758676351,0.9123807971309805,0.8797174364993079,0.7515750217141003,0.8665189405930147
CAID3 Disorder-PDB,caid3,disorder_pdb,81.0,0.8535108958837773,0.9057584155187872,0.8796346557012822,0.7475734081322012,0.872269705603039
CAID3 Disorder-PDB,caid3,disorder_pdb,82.0,0.8615819209039548,0.8959165376151276,0.8787492292595411,0.7407587314001589,0.8796560092856389
CAID3 Disorder-PDB,caid3,disorder_pdb,83.0,0.8696977849520222,0.8859116472410139,0.8778047160965181,0.7341720843717991,0.8868312757201646
CAID3 Disorder-PDB,caid3,disorder_pdb,84.0,0.8778136490000896,0.8757844975140598,0.8767990732570747,0.7278236093113848,0.8939010235306531
CAID3 Disorder-PDB,caid3,disorder_pdb,85.0,0.8875885570800826,0.8609503627027467,0.8742694598914147,0.7174387255898088,0.9025007913896803
CAID3 Disorder-PDB,caid3,disorder_pdb,86.0,0.8976324993274146,0.845688320156492,0.8716604097419534,0.7074952926489535,0.9107840033765959
CAID3 Disorder-PDB,caid3,disorder_pdb,87.0,0.9055241682360327,0.8292648137582526,0.8673944909971426,0.6950906109933382,0.9176427139390102
CAID3 Disorder-PDB,caid3,disorder_pdb,88.0,0.9136848713119899,0.808867878392697,0.8612763748523435,0.6792430680945118,0.9252400548696845
CAID3 Disorder-PDB,caid3,disorder_pdb,89.0,0.9228320330015245,0.7853329529709022,0.8540824929862134,0.6619137166834478,0.9338925820407302
CAID3 Disorder-PDB,caid3,disorder_pdb,90.0,0.9336830777508743,0.7522414214687424,0.8429622496098084,0.6376778242616973,0.9430199430199431
CAID3 Disorder-PDB,caid3,disorder_pdb,91.0,0.9425163662451798,0.7181106854674383,0.830313525856309,0.6125581995473395,0.9508810805107102
CAID3 Disorder-PDB,caid3,disorder_pdb,92.0,0.9508564254326967,0.6806585703806342,0.8157574979066654,0.5857292668881595,0.9578453096971615
CAID3 Disorder-PDB,caid3,disorder_pdb,93.0,0.9593310017038831,0.6283519439237102,0.7938414728137966,0.5481315427567783,0.9651260947557244
CAID3 Disorder-PDB,caid3,disorder_pdb,94.0,0.9657878217200251,0.5779403374358139,0.7718640795779195,0.5127719401698874,0.9709296190777672
CAID3 Disorder-PDB,caid3,disorder_pdb,95.0,0.9732759393776343,0.5034436384383405,0.7383597889079874,0.4619030104286414,0.9773134958320143
CAID3 Disorder-PDB,caid3,disorder_pdb,96.0,0.9794637252264371,0.43067894693944087,0.705071336082939,0.4138376495214028,0.9828532235939643
CAID3 Disorder-PDB,caid3,disorder_pdb,97.0,0.9865482916330374,0.34026815551389683,0.6634082235734671,0.35561747472843525,0.9892371003482114
CAID3 Disorder-PDB,caid3,disorder_pdb,98.0,0.9951125459600035,0.222430515934469,0.6087715309472362,0.27900564554836466,0.9966234040308114
CAID3 Disorder-PDB,caid3,disorder_pdb,99.0,1.0,0.0014467356752791588,0.5007233678376396,0.02127161277268364,1.0
CAID3 Disorder-NOX,caid3,disorder_nox,5.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-NOX,caid3,disorder_nox,6.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-NOX,caid3,disorder_nox,7.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-NOX,caid3,disorder_nox,8.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-NOX,caid3,disorder_nox,9.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-NOX,caid3,disorder_nox,10.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-NOX,caid3,disorder_nox,11.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-NOX,caid3,disorder_nox,12.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-NOX,caid3,disorder_nox,13.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-NOX,caid3,disorder_nox,14.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-NOX,caid3,disorder_nox,15.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-NOX,caid3,disorder_nox,16.0,0.0,1.0,0.5,,0.0
CAID3 Disorder-NOX,caid3,disorder_nox,17.0,0.0,0.9999755781864361,0.49998778909321806,-0.0027240834465025927,0.0
CAID3 Disorder-NOX,caid3,disorder_nox,18.0,0.0,0.9999023127457445,0.49995115637287224,-0.005448305839636672,0.0
CAID3 Disorder-NOX,caid3,disorder_nox,19.0,5.595344673231871e-05,0.9994871419151586,0.4997715476809455,-0.010867615501057814,6.0598715307235486e-05
CAID3 Disorder-NOX,caid3,disorder_nox,20.0,0.0006714413607878246,0.999218501965956,0.4999449716633719,-0.001851362002546441,0.0007271845836868258
CAID3 Disorder-NOX,caid3,disorder_nox,21.0,0.0018464637421665175,0.9990719710845727,0.5004592174133696,0.012165227873129805,0.001999757605138771
CAID3 Disorder-NOX,caid3,disorder_nox,22.0,0.0038607878245299912,0.998827752948934,0.501344270386732,0.02775203722900728,0.004181311356199249
