dataset,method,kind,operating_point,lo,hi,n_residues,recall
CAID2 Disorder-PDB,rawMSA,DED,calibrated,31,50,1665,0.5891891891891892
CAID2 Disorder-PDB,rawMSA,DED,calibrated,51,100,3649,0.6908742121129077
CAID2 Disorder-PDB,rawMSA,DED,calibrated,101,200,3672,0.8730936819172114
CAID2 Disorder-PDB,rawMSA,DED,calibrated,201,-1,10717,0.7984510590650369
CAID2 Disorder-PDB,metapredict,DED,calibrated,1,5,0,
CAID2 Disorder-PDB,metapredict,DED,calibrated,6,10,160,0.53125
CAID2 Disorder-PDB,metapredict,DED,calibrated,11,15,898,0.4209354120267261
CAID2 Disorder-PDB,metapredict,DED,calibrated,16,20,752,0.42819148936170215
CAID2 Disorder-PDB,metapredict,DED,calibrated,21,30,1381,0.5778421433743663
CAID2 Disorder-PDB,metapredict,DED,calibrated,31,50,1665,0.5141141141141141
CAID2 Disorder-PDB,metapredict,DED,calibrated,51,100,3649,0.7988489997259524
