dataset,method,kind,operating_point,threshold,stratum,local_recall,local_specificity,local_bacc,local_bacc_lo,local_bacc_hi,local_mcc,n_pos,n_neg
CAID3 Disorder-PDB,pyHCA,DED,literal,0.5,mid_20_30,0.2694805194805195,0.9689839572192513,0.6192322383498854,0.5769971400578964,0.6663912463705531,0.301330721748254,1540,935
CAID3 Disorder-PDB,pyHCA,DED,literal,0.5,long_gt30,0.38625092328796035,0.9807997181610005,0.6835253207244805,0.648945805880708,0.7177305422906732,0.3367942108577614,18954,5677
CAID3 Disorder-PDB,pyHCA,DED,calibrated,0.271,short_lt20,0.3202433628318584,0.8477769404672193,0.5840101516495388,0.5593024103546653,0.6106774707601934,0.19194097327158077,1808,1327
CAID3 Disorder-PDB,pyHCA,DED,calibrated,0.271,mid_20_30,0.5142857142857142,0.788235294117647,0.6512605042016806,0.6119129449953317,0.6915562048374662,0.2993924754260479,1540,935
CAID3 Disorder-PDB,pyHCA,DED,calibrated,0.271,long_gt30,0.6571699905033238,0.8476307909106923,0.752400390707008,0.714654703767881,0.7869829310588765,0.4266091707297425,18954,5677
CAID3 Disorder-PDB,DeepIDP-2L,DED,literal,0.5,short_lt20,0.5160398230088495,0.8507912584777694,0.6834155407433095,0.6529846554247567,0.716888444638265,0.3774162886399917,1808,1327
CAID3 Disorder-PDB,DeepIDP-2L,DED,literal,0.5,mid_20_30,0.611038961038961,0.8171122994652407,0.7140756302521009,0.6684334525413206,0.7564589603011803,0.4173141120879385,1540,935
CAID3 Disorder-PDB,DeepIDP-2L,DED,literal,0.5,long_gt30,0.7177376807006437,0.8631319358816276,0.7904348082911357,0.7490017651658778,0.8305055110078687,0.49628605236423146,18954,5677
CAID3 Disorder-PDB,DeepIDP-2L,DED,calibrated,0.534,short_lt20,0.4795353982300885,0.8688771665410701,0.6742062823855792,0.6433372468060212,0.708047228642113,0.3655230590144461,1808,1327
CAID3 Disorder-PDB,DeepIDP-2L,DED,calibrated,0.534,mid_20_30,0.5831168831168831,0.8695187165775401,0.7263177998472117,0.6777944290393977,0.7722372040769596,0.4458443747045115,1540,935
CAID3 Disorder-PDB,DeepIDP-2L,DED,calibrated,0.534,long_gt30,0.6969505117653266,0.887440549586049,0.7921955306756878,0.7517684102761998,0.8311066378211435,0.4960832669269223,18954,5677
CAID3 Disorder-PDB,PredIDR-long,DED,literal,0.5,short_lt20,0.6222345132743363,0.7558402411454408,0.6890373772098886,0.6559259103569333,0.7221274444054899,0.37467039255701273,1808,1327
CAID3 Disorder-PDB,PredIDR-long,DED,literal,0.5,mid_20_30,0.7772727272727272,0.7475935828877005,0.7624331550802139,0.7102641548442552,0.8112508882215145,0.5154160147108015,1540,935
