dataset,round,reference,method,kind,operating_point,threshold,stratum,recall,recall_lo,recall_hi,specificity,balanced_accuracy,bacc_lo,bacc_hi,mcc,n_pos_residues,n_targets
CAID3 Disorder-NOX,caid3,disorder_nox,DisEMBL-dis465,DED,calibrated,0.383,short_lt20,0.6252072968490879,0.503935455844022,0.7496706774050953,0.6866925537890444,0.6559499253190662,0.5931789228741574,0.7150922607305658,0.0801066648886507,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,DisEMBL-dis465,DED,calibrated,0.383,mid_20_30,0.651890482398957,0.5213609278369895,0.7701835401391238,0.6866925537890444,0.6692915180940007,0.6009307252248522,0.7294728346260287,0.09755076692726239,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,DisEMBL-dis465,DED,calibrated,0.383,long_gt30,0.6694340079990304,0.6260459077257717,0.7080381846209138,0.6866925537890444,0.6780632808940374,0.6514420458710766,0.7032077224136845,0.3269699509386076,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,DisEMBL-disHL,DED,literal,0.5,short_lt20,0.003316749585406302,0.0,0.008838825478645064,0.9996825164236697,0.501499633004538,0.49979559156715764,0.5042131776724068,0.01888130244986161,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,DisEMBL-disHL,DED,literal,0.5,mid_20_30,0.007822685788787484,0.0013278895002002571,0.017641699900084778,0.9996825164236697,0.5037526011062285,0.5004992799780009,0.5087085789700362,0.04725549693978101,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,DisEMBL-disHL,DED,literal,0.5,long_gt30,0.0012725730214519452,0.0006095698307380208,0.002139412832416045,0.9996825164236697,0.5004775447225608,0.5001223039521556,0.5009153723923444,0.017769337581228842,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,DisEMBL-disHL,DED,calibrated,0.124,short_lt20,0.3963515754560531,0.27493010021031794,0.5412598901811578,0.8666324761276772,0.6314920257918651,0.5724776309369326,0.7028862982512187,0.09141492439005326,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,DisEMBL-disHL,DED,calibrated,0.124,mid_20_30,0.46284224250325945,0.36056731410827275,0.5615491351019181,0.8666324761276772,0.6647373593154684,0.6132482615246664,0.7152694880716197,0.127786064888542,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,DisEMBL-disHL,DED,calibrated,0.124,long_gt30,0.3363834686704642,0.2860376859550034,0.3836113250516546,0.8666324761276772,0.6015079723990707,0.575173926081759,0.6258420637483206,0.2333696126565624,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,IsUnstruct,DED,literal,0.5,short_lt20,0.6169154228855721,0.4844588513247455,0.7492505110152169,0.6885486116198989,0.6527320172527356,0.5854365464550352,0.7160160865680671,0.07858323280666342,603,161
