dataset,method,kind,operating_point,stratum,n_regions,detection_rate,mean_overlap
CAID2 Disorder-PDB,disomine,DED,calibrated,mid_20_30,64,0.53125,0.5298681501063904
CAID2 Disorder-PDB,disomine,DED,calibrated,long_gt30,153,0.6666666666666666,0.6498055856284665
CAID2 Disorder-PDB,s2D,DED,literal,short_lt20,118,0.788135593220339,0.7264836302168383
CAID2 Disorder-PDB,s2D,DED,literal,mid_20_30,64,0.78125,0.7404989072013762
CAID2 Disorder-PDB,s2D,DED,literal,long_gt30,153,0.8431372549019608,0.7492654424519125
CAID2 Disorder-PDB,s2D,DED,calibrated,short_lt20,118,0.6440677966101694,0.6264657141060824
CAID2 Disorder-PDB,s2D,DED,calibrated,mid_20_30,64,0.703125,0.6478487637503052
CAID2 Disorder-PDB,s2D,DED,calibrated,long_gt30,153,0.7124183006535948,0.664648668741405
CAID2 Disorder-NOX,AlphaFold-disorder,AF,literal,short_lt20,31,0.5483870967741935,0.4291872035717537
CAID2 Disorder-NOX,AlphaFold-disorder,AF,literal,mid_20_30,26,0.5,0.4442603947776361
CAID2 Disorder-NOX,AlphaFold-disorder,AF,literal,long_gt30,117,0.5470085470085471,0.5357799803773512
CAID2 Disorder-NOX,AlphaFold-disorder,AF,calibrated,short_lt20,31,0.8064516129032258,0.8074457517581456
CAID2 Disorder-NOX,AlphaFold-disorder,AF,calibrated,mid_20_30,26,0.7692307692307693,0.7275575706344937
CAID2 Disorder-NOX,AlphaFold-disorder,AF,calibrated,long_gt30,117,0.8632478632478633,0.8129246721122149
CAID2 Disorder-NOX,AlphaFold-rsa,AF,literal,short_lt20,31,0.7741935483870968,0.7545128706419029
CAID2 Disorder-NOX,AlphaFold-rsa,AF,literal,mid_20_30,26,0.7307692307692307,0.6901064055308088
CAID2 Disorder-NOX,AlphaFold-rsa,AF,literal,long_gt30,117,0.8717948717948718,0.8558343038422267
CAID2 Disorder-NOX,AlphaFold-rsa,AF,calibrated,short_lt20,31,0.6451612903225806,0.6237605513709079
CAID2 Disorder-NOX,AlphaFold-rsa,AF,calibrated,mid_20_30,26,0.6538461538461539,0.588799330642832
CAID2 Disorder-NOX,AlphaFold-rsa,AF,calibrated,long_gt30,117,0.8376068376068376,0.796030986877319
CAID2 Disorder-NOX,AIUPred,DED,literal,short_lt20,31,0.6774193548387096,0.6516413222695056
CAID2 Disorder-NOX,AIUPred,DED,literal,mid_20_30,26,0.5769230769230769,0.5484569453534971
CAID2 Disorder-NOX,AIUPred,DED,literal,long_gt30,117,0.8717948717948718,0.8235706822873979
CAID2 Disorder-NOX,AIUPred,DED,calibrated,short_lt20,31,0.3870967741935484,0.38327588498366477
CAID2 Disorder-NOX,AIUPred,DED,calibrated,mid_20_30,26,0.38461538461538464,0.4142749911450177
CAID2 Disorder-NOX,AIUPred,DED,calibrated,long_gt30,117,0.6837606837606838,0.6939993163524666
CAID2 Disorder-NOX,IUPred3,DED,literal,short_lt20,31,0.5161290322580645,0.4518720661197941
CAID2 Disorder-NOX,IUPred3,DED,literal,mid_20_30,26,0.38461538461538464,0.4041094272659259
CAID2 Disorder-NOX,IUPred3,DED,literal,long_gt30,117,0.6666666666666666,0.6363770165292446
CAID2 Disorder-NOX,IUPred3,DED,calibrated,short_lt20,31,0.4838709677419355,0.4251695755890304
CAID2 Disorder-NOX,IUPred3,DED,calibrated,mid_20_30,26,0.38461538461538464,0.38478432707875676
CAID2 Disorder-NOX,IUPred3,DED,calibrated,long_gt30,117,0.6581196581196581,0.6229751892390945
CAID2 Disorder-NOX,ESpritz-D,DED,literal,short_lt20,31,0.1935483870967742,0.18894009216589863
CAID2 Disorder-NOX,ESpritz-D,DED,literal,mid_20_30,26,0.11538461538461539,0.11393593144256274
CAID2 Disorder-NOX,ESpritz-D,DED,literal,long_gt30,117,0.358974358974359,0.3699805590826229
CAID2 Disorder-NOX,ESpritz-D,DED,calibrated,short_lt20,31,0.5806451612903226,0.5783410138248849
CAID2 Disorder-NOX,ESpritz-D,DED,calibrated,mid_20_30,26,0.5769230769230769,0.5580198537095089
CAID2 Disorder-NOX,ESpritz-D,DED,calibrated,long_gt30,117,0.8376068376068376,0.8279617094851822
CAID2 Disorder-NOX,ESpritz-N,DED,literal,short_lt20,31,0.4838709677419355,0.44488940600994925
CAID2 Disorder-NOX,ESpritz-N,DED,literal,mid_20_30,26,0.5384615384615384,0.499860488759693
CAID2 Disorder-NOX,ESpritz-N,DED,literal,long_gt30,117,0.48717948717948717,0.47771916436468903
CAID2 Disorder-NOX,ESpritz-N,DED,calibrated,short_lt20,31,0.7096774193548387,0.7021577078003722
CAID2 Disorder-NOX,ESpritz-N,DED,calibrated,mid_20_30,26,0.6923076923076923,0.6992038421348767
